Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AngeMotorState,Photoeye,VisionXOutput,gyro180,RollerArmDesired,RollerArmActual,ShooterArmDesired,ShooterArmActual, DefenseDetectorController,DefenseDetectorRaw,Shooter10Amps,Shooter11Amps,IsStalled
08:38:46.304 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,514.306641,-1302.539062,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,63.000000,-0.300000,33954.000000,0,0,0.000000,0.000000,0
08:38:46.405 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,255.175781,-1081.494141,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,63.000000,-0.300000,33954.000000,0,0,0.000000,0.000000,0
08:38:46.504 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,55.664062,-829.541016,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,63.000000,-0.300000,33954.000000,0,0,0.000000,0.000000,0
08:38:46.604 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.146484,-594.873047,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,104.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Reset,0,0.000000,-0.200000,0.000000,64.000000,0.000000,33954.000000,0,0,0.000000,0.000000,0
08:38:46.705 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,0.000000,-393.750000,4000.000000,4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,64.000000,0.000000,-143.000000,0,0,0.000000,0.000000,0
08:38:46.806 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,142.968750,-478.710937,4000.000000,4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,64.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:46.907 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,1657.324219,-1846.582031,4000.000000,4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,100.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,64.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.006 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,2908.740234,-3431.396484,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,64.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.107 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,3395.068359,-3303.955078,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,65.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.207 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,1179.785156,-1012.939453,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,65.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.307 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-1270.605469,1655.566406,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,65.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.407 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-2853.515625,3367.382812,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,65.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.508 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3492.626953,3943.945312,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,65.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.609 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3653.466797,3947.753906,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,100.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,65.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.708 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3610.107422,3872.167969,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.809 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3634.130859,3861.767578,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:47.909 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3708.105469,3900.732422,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:48.010 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3796.435547,3943.945312,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:48.109 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3864.843750,3973.388672,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,105.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:48.210 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3904.687500,3989.208984,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-220.000000,0,0,0.000000,0.000000,0
08:38:48.310 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3939.257812,3991.992187,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,0,0.000000,0.000000,0
08:38:48.411 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3956.689453,3992.578125,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,103.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,0,0.000000,0.000000,0
08:38:48.512 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3970.605469,3996.679687,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,0,0.000000,0.000000,0
08:38:48.612 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3977.197266,3998.876953,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,100.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,0,0.000000,0.000000,0
08:38:48.714 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3979.541016,3997.265625,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,103.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,0,0.000000,0.000000,0
08:38:48.813 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3982.470703,3990.527344,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,104.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,0,0.000000,0.000000,0
08:38:48.914 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3981.884766,3987.597656,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,100.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,0,0.000000,0.000000,0
08:38:49.015 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3951.123047,3978.369141,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,104.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,0,1,0.000000,0.000000,0
08:38:49.116 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-3958.007812,3980.126953,-4000.000000,-4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,3.000000,106.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,Hold,0,0.000000,-0.200000,0.000000,66.000000,0.000000,-219.000000,1,0,0.000000,0.000000,0
